Boro,boro_cd,pop_2010,pop_estimate,percent_white,percent_black,percent_hisp,percent_poverty
Bronx,201,91500,,1.9,28.7,67.5,31
Bronx,202,52200,,1.9,28.7,67.5,31
Bronx,203,79800,,4.2,30.6,63.3,30.3
Bronx,204,146400,144600,1.7,29.3,65.5,32.4
Bronx,205,128200,140300,1.2,27.5,68.4,35.6
Bronx,206,83300,,4.2,30.6,63.3,30.3
Bronx,207,139300,133300,6.3,14.8,71.3,27.4
Bronx,208,101700,111200,32.7,12.1,48.1,15.8
Bronx,209,172300,190800,2.8,29.1,58.1,27.6
Bronx,210,120400,122600,28.4,27.9,38.4,14
Bronx,211,113200,129600,22,21.4,46.7,20.6
Bronx,212,152300,147400,6.6,65.1,22.9,20.9
Brooklyn,301,173100,160800,62.6,4.5,23,15.5
Brooklyn,302,99600,139200,44.9,26.6,14.8,11
Brooklyn,303,15300,145300,24.3,51.1,19.3,21.2
Brooklyn,304,112600,135500,17.1,18.9,56.9,24.8
Brooklyn,305,182900,158800,3.8,52.1,37.1,28.7
Brooklyn,306,104700,118900,64.6,6.7,17.3,9.6
Brooklyn,307,126200,150000,22.6,2.5,41.1,27.9
Brooklyn,308,96300,131400,21.6,58.1,12.6,20.4
Brooklyn,309,98400,110200,21.6,65.3,8.9,20.8
Brooklyn,310,124500,124900,55.9,1.7,15.9,19
Brooklyn,311,182000,129000,43,1,14.4,22.5
Brooklyn,312,191400,164500,70.6,2.3,10.8,27.2
Brooklyn,313,104300,114200,56.6,11.1,15.7,24.4
Brooklyn,314,160700,164100,40.3,30.7,15.7,21.5
Brooklyn,315,159700,154000,66.8,3.9,10,18.6
Brooklyn,316,86500,121500,2.6,73.1,21.5,29.4
Brooklyn,317,155300,138000,2.5,87.1,7.4,19.5
Brooklyn,318,193500,212000,22.8,62.5,8.2,14.6
Manhattan,101,61000,,72,2.3,6.4,8.8
Manhattan,102,90000,,72,2.3,6.4,8.8
Manhattan,103,163300,159700,32.7,7.4,25.1,19.3
Manhattan,104,103200,,59.3,6,15.1,11.3
Manhattan,105,51700,,59.3,6,15.1,11.3
Manhattan,106,142700,148800,68.7,3.3,9,9.8
Manhattan,107,209100,195500,67.3,5.6,15,9.2
Manhattan,108,219900,222500,75.6,2.4,9.5,7.2
Manhattan,109,110200,131500,28.5,21.6,8.4,38
Manhattan,110,115700,138400,14,56.1,23.5,20.2
Manhattan,111,120500,125700,13.8,29.9,46.3,22.3
Manhattan,112,190000,221900,28.6,7.9,69.2,19.6
Queens,401,191100,173700,47.3,6.7,26.8,18.1
Queens,402,113200,138900,28.2,1.4,32.4,18.8
Queens,403,171600,180200,10,4.8,66.9,24
Queens,404,172600,143200,6.7,7.6,49.7,25.6
Queens,405,169200,181600,52.1,1.3,36.5,16.8
Queens,406,113300,116600,48.6,2.8,15.8,15.1
Queens,407,247400,252100,25.7,2.1,17.4,25.5
Queens,408,151100,165000,30.6,11.5,19.2,20.8
Queens,409,143300,155000,18,5.5,42.2,21.5
Queens,410,122400,138900,21.7,14.8,25.7,17.3
Queens,411,116400,121100,40.5,1.9,11.5,14.1
Queens,412,225900,244300,1.7,61.2,16.7,19
Queens,413,188600,205600,11.4,55.7,12.3,12.3
Queens,414,115000,123000,35.1,35.1,24.4,17.2
Staten Island,501,175800,173500,38.2,21.5,29.6,21.2
Staten Island,502,132000,136900,66.5,4.1,13.7,14.9
Staten Island,503,160200,165600,83.4,1,9.9,12.3