"","ZCTA","PCSA","numHC","ptsUninsured","ptsMedicaid","poverty","lowInc","nonWhite","hispanic","black","asian","aIaN","popUninsured","popMedicaid","unemployed","limEnglish","lessHS","delayedCare","noUsualCare","pcp1_fte","pcp2_fte","r_pcp1_fte","r_pcp2_fte"
"1","10451","36005006500",28,0.150496883948122,0.598871483914435,0.34678354,0.66495291,0.85208499,0.57227404,0.432201263122673,0.0172110920573842,0.018486762307081,0.165166670007416,0.468419892160597,0.531839609146118,0.233848392963409,0.368225932121277,0.211137518286705,0.211304157972336,241.4,163.7,137.6,93.3
"2","10454","36005006500",27,0.121472920636872,0.660109423987213,0.48743548,0.77068453,0.7546644,0.71959433,0.32396583313979,0.0108642357616578,0.00332894634977162,0.174843975036006,0.514954392702833,0.552574098110199,0.338780730962753,0.429071545600891,0.218585342168808,0.223935008049011,241.4,163.7,137.6,93.3
"3","10455","36005006500",28,0.106984667802385,0.647189097103918,0.40628007,0.7291213,0.86017872,0.75122024,0.310129909138695,0.0032289554704513,0.00493104052464269,0.179408152388015,0.486802771533845,0.53681343793869,0.307377636432648,0.433766782283783,0.219205483794212,0.225576996803284,241.4,163.7,137.6,93.3
"4","10459","36005012701",25,0.099518238128011,0.6712319339298,0.40881329,0.6863444,0.87526156,0.70202407,0.312229381176324,0.0103793324908326,0.0047442457892229,0.157501831646898,0.49109918615473,0.534155964851379,0.250923693180084,0.409370511770248,0.216006502509117,0.219842553138733,60.1,49.3,72.1,59.1
"5","10460","36005012701",29,0.080028211085297,0.678974444075672,0.41354266,0.69745536,0.87292931,0.71477265,0.272070352443929,0.0185936328311405,0.00376644624718795,0.13254045688524,0.496736533997241,0.525081992149353,0.195505276322365,0.406022697687149,0.218436136841774,0.222561284899712,60.1,49.3,72.1,59.1
"6","10474","36005012701",19,0.11318860584766,0.702974024344334,0.41369814,0.72887981,0.75267937,0.70391884,0.322670375521558,0.00466333960566146,0.00335433199705473,0.181442958560343,0.485141158989599,0.577606201171875,0.25027871131897,0.357708871364594,0.218426197767258,0.223547697067261,60.1,49.3,72.1,59.1
"7","10465","36005015200",19,0.0847991112756897,0.614330679503796,0.13893113,0.26800089,0.36455997,0.36115186,0.102415875754961,0.0354831751509922,0.00716134598792062,0.0812014380146121,0.20600719007306,0.454579442739487,0.0531461536884308,0.185195907950401,0.158578738570213,0.190392389893532,9.2,11.2,65.3,79.5
"8","10452","36005022901",31,0.116320104240187,0.641131440360497,0.40136812,0.70574743,0.84860203,0.67123797,0.339672035294743,0.0127172699728911,0.00475734864189656,0.166996459771972,0.504502685458143,0.508822798728943,0.279310613870621,0.36250114440918,0.215164810419083,0.218035280704498,203.9,134.8,146.8,97.1
"9","10456","36005022901",35,0.113341228356746,0.639598987259066,0.42073367,0.70376177,0.89549473,0.60142582,0.404711294243326,0.00765231040910429,0.00412047483567154,0.146076405093673,0.512067471164744,0.548752665519714,0.208087533712387,0.407105624675751,0.209702372550964,0.21110837161541,203.9,134.8,146.8,97.1
"10","10462","36005023800",25,0.10087370929309,0.598159915276675,0.2107926,0.43397622,0.76733584,0.47367107,0.280434611241033,0.116561999106603,0.00599101347978033,0.128504763006672,0.333474745137362,0.423747360706329,0.14370159804821,0.230072110891342,0.202320516109467,0.201767489314079,18.3,23.2,52.7,66.8
"11","10453","36005025100",31,0.121188118811881,0.66372068785826,0.41197462,0.67631936,0.89943293,0.68247639,0.320232399179768,0.0147084883926989,0.00934153565732513,0.164098228354022,0.549966053059708,0.493865698575974,0.276718229055405,0.332942545413971,0.21451373398304,0.21811631321907,22.9,16.6,93.5,67.8
"12","10468","36005026701",30,0.120469924031716,0.657312466270912,0.3287204,0.59569739,0.8648102,0.71429358,0.226600443019688,0.0414127099872047,0.0069067044563378,0.129885210891618,0.439922584089696,0.458381921052933,0.231411442160606,0.324920207262039,0.217583701014519,0.22117318212986,12.1,15,70.7,87.6
"13","10461","36005028400",20,0.0885046942981452,0.649759560338905,0.16064721,0.31430975,0.50267951,0.40114427,0.0795651759321064,0.101325450557834,0.00251740249833127,0.100575565181273,0.246286516742815,0.445853918790817,0.108274377882481,0.198262795805931,0.172693952918053,0.192657291889191,349.8,199,160.6,91.4
"14","10472","36005028400",27,0.121284860123074,0.680181556321739,0.34717281,0.60404917,0.84406896,0.64277409,0.287256492341262,0.0610689214602564,0.00555563530914885,0.149527688217659,0.453871825329487,0.483579605817795,0.236525669693947,0.402708053588867,0.217302918434143,0.21638548374176,349.8,199,160.6,91.4
"15","10469","36005028400",26,0.167619175687487,0.508572581187387,0.13158084,0.33078259,0.80018272,0.26241331,0.544870641325563,0.048587367284506,0.00503868994061544,0.107303307687988,0.262635480429045,0.477030396461487,0.057883407920599,0.197615772485733,0.184817552566528,0.184131309390068,349.8,199,160.6,91.4
"16","10473","36005028400",22,0.0803208314505197,0.623644374152734,0.27119611,0.49349102,0.75216855,0.59047841,0.42043104023487,0.0212517515179823,0.00530459731767532,0.137084255375367,0.37710143012848,0.524926006793976,0.129338622093201,0.254339277744293,0.212148547172546,0.213711276650429,349.8,199,160.6,91.4
"17","10463","36005028900",24,0.144523115368596,0.510620574760516,0.17980069,0.35968893,0.55230355,0.48850333,0.156910637581066,0.0358656896600129,0.00642915298015104,0.0824743801407047,0.286436720063064,0.444951146841049,0.132407575845718,0.189636737108231,0.179661273956299,0.199744567275047,112,71.6,123,78.6
"18","10471","36005028900",15,0.157699443413729,0.419294990723562,0.09273963,0.19253724,0.30011397,0.22899476,0.0787782083428311,0.0894005014816503,0.000182356963756553,0.0600272137324681,0.179348963784802,0.473084777593613,0.0752712488174438,0.0871347710490227,0.139911845326424,0.175843849778175,112,71.6,123,78.6
"19","10467","36005033400",33,0.116760363254463,0.588373386050534,0.28147868,0.5458996,0.80484831,0.48148633,0.367986216763559,0.0688859558090095,0.00735508962126326,0.132051041285719,0.379449062496911,0.475120276212692,0.164653912186623,0.265275299549103,0.199158236384392,0.200405359268188,248.9,195.2,146.6,115
"20","10457","36005039500",33,0.0938186382177597,0.674406442840707,0.40609086,0.69577449,0.85804408,0.64645497,0.380849116383863,0.0101668661550377,0.0034218122931775,0.147279244053438,0.526541714480003,0.534029424190521,0.229370266199112,0.375049769878387,0.215058326721191,0.2179244607687,18,20.6,88.2,100.9
"21","10458","36005039700",32,0.118185269552012,0.661389521640091,0.39301817,0.65784943,0.8060989,0.65674655,0.21321254391945,0.0332345691960774,0.00553253972415963,0.144180380911294,0.473728286660492,0.514580190181732,0.261029273271561,0.352414011955261,0.209046170115471,0.21583479642868,48.1,40.1,197.1,164.3
"22","10466","36005042600",30,0.265837431298814,0.492623662134799,0.21551236,0.43594582,0.92348221,0.21638888,0.73627919663494,0.0196821568543004,0.00305784056160903,0.116953187805331,0.305732484076433,0.456969529390335,0.0585452131927013,0.208911001682281,0.190611824393272,0.182478353381157,3.6,5,15.5,21.5
"23","10475","36005046201",19,0.138672768878719,0.433638443935927,0.10234586,0.32537541,0.83275762,0.325849,0.594881342245749,0.00906195325467678,0.00381319815172043,0.0848721424898322,0.210906455986162,0.497466951608658,0.0744453594088554,0.156679809093475,0.18936724960804,0.188644334673882,18.4,14.8,43.2,34.8
"24","10464","36005051600",6,0.127906976744186,0.476744186046512,0.04060914,0.11520636,0.18380406,0.21954987,0.0183142100617829,0.00463371579876434,0,0.0750885478158205,0.118772136953955,0.384496122598648,0.0107426438480616,0.0458037815988064,0.13649483025074,0.181207254528999,3.9,0.9,89.4,20.6
"25","11238","36047000502",24,0.151624548736462,0.506188757091284,0.13857068,0.30268845,0.58728998,0.11437864,0.425816509170692,0.0668411632248504,0.001385707962047,0.104071802205246,0.178715237270914,0.323800295591354,0.0351305417716503,0.0928498208522797,0.169776037335396,0.157059490680695,350.6,212.3,201.9,122.2
"26","11201","36047000502",23,0.151222456987625,0.606097192876547,0.14308848,0.22624136,0.35278289,0.13767526,0.135851862342444,0.0979323042062031,0.00237218524288344,0.083720849225839,0.128724942090322,0.347184002399445,0.0511069148778915,0.0767161399126053,0.148093014955521,0.151705697178841,350.6,212.3,201.9,122.2
"27","11205","36047000502",26,0.0796354201317278,0.744661033863349,0.34524991,0.5062084,0.535988,0.21424284,0.32151431209603,0.0651892890120037,0.00113111726685134,0.100662980890551,0.319102567043656,0.42831689119339,0.0811133235692978,0.187273591756821,0.174843803048134,0.164677366614342,350.6,212.3,201.9,122.2
"28","11209","36047006000",15,0.15403564700768,0.458049558035067,0.15561936,0.30764984,0.24284258,0.15857926,0.0247030944311262,0.127304290319914,0.00297594444903695,0.100489069096685,0.249759645529407,0.425697416067123,0.118449993431568,0.130761101841927,0.143215328454971,0.154933482408524,90.5,55.4,299.8,183.5
"29","11231","36047006300",18,0.0930232558139535,0.650975243810953,0.16301049,0.26009422,0.33590522,0.22063286,0.123652651350961,0.0529403265424072,0.0011270047680971,0.0618435783973983,0.124993335821293,0.33105006814003,0.0606873966753483,0.122015111148357,0.158843383193016,0.160020366311073,40.5,27.6,310.8,211.8
"30","11220","36047007400",21,0.200556301553808,0.642688151416331,0.32006291,0.62658503,0.70487145,0.41020498,0.0246669616084157,0.412977436956201,0.0144816398761245,0.165023043758363,0.438237771941127,0.430503726005554,0.403585165739059,0.477251529693604,0.180217698216438,0.209043964743614,161.7,80.3,209,103.8
"31","11217","36047012901",19,0.179904306220096,0.525837320574163,0.14606948,0.27380796,0.44888117,0.21881401,0.199522908185755,0.0696450333186403,0.007804599787383,0.0838701894076487,0.155145373386416,0.320104032754898,0.0544005744159222,0.126869931817055,0.16389536857605,0.161604151129723,183.5,96.4,348.1,182.9
"32","11215","36047012901",19,0.214378238341969,0.465241796200345,0.0823595,0.17018294,0.26218713,0.1817806,0.0482638690917384,0.0781258908717715,0.00240891727008381,0.0654722697931761,0.100316163878277,0.262665927410126,0.0495100729167461,0.0813042819499969,0.146211341023445,0.153060883283615,183.5,96.4,348.1,182.9
"33","11232","36047014300",14,0.229652996845426,0.618170347003155,0.27827622,0.5291587,0.63408258,0.59238761,0.0517791661007741,0.151976096699715,0.0104916474263208,0.161021814006889,0.395522388059701,0.421899408102036,0.247241377830505,0.359643250703812,0.196385577321053,0.206122174859047,12.9,7.9,46.6,28.5
"34","11228","36047014800",11,0.167794316644114,0.57510148849797,0.11909279,0.29359939,0.3575197,0.10364967,0.00955296467574198,0.299051216917432,0.00451594693762348,0.0963153917951909,0.271878750166674,0.458160936832428,0.148714244365692,0.227360665798187,0.139632686972618,0.159456238150597,70.2,62.4,53.6,47.7
"35","11204","36047014800",17,0.109770548314123,0.716363244640741,0.22793219,0.46596036,0.34693649,0.10642323,0.00606105863171913,0.288765261546503,0.00286251229013429,0.103775188152464,0.402403495994173,0.475082457065582,0.302134841680527,0.276327520608902,0.142096534371376,0.163390338420868,70.2,62.4,53.6,47.7
"36","11219","36047021800",19,0.0907254090281884,0.793563966095013,0.36070026,0.64976705,0.34132234,0.12606489,0.0119733789847952,0.257761930327495,0.00263373818616477,0.104073649285217,0.482120181870315,0.458807587623596,0.327834367752075,0.349476128816605,0.143793389201164,0.163187861442566,20.7,23.7,167.4,191.7
"37","11214","36047032800",16,0.188888888888889,0.604186795491143,0.18576679,0.41471796,0.45083072,0.13516881,0.0101475701326206,0.34937766855046,0.00234436051054962,0.110400214760296,0.362061251426143,0.481940984725952,0.363595724105835,0.264992237091064,0.146120443940163,0.17090716958046,40.5,29.4,53.3,38.7
"38","11224","36047032800",20,0.188766891891892,0.596283783783784,0.29823353,0.52614084,0.39673989,0.17085109,0.216989086139866,0.0777085577778819,0.00496510375193217,0.0995924315216649,0.416198000865229,0.576452374458313,0.358122617006302,0.202832788228989,0.162068352103233,0.159275859594345,40.5,29.4,53.3,38.7
"39","11213","36047033300",29,0.16863721219664,0.617797137523335,0.27406441,0.52958613,0.80167633,0.1060297,0.696985148830391,0.0168111415641532,0.00256549174580917,0.123833309319117,0.314506187663097,0.483456641435623,0.085040770471096,0.214396744966507,0.191181227564812,0.159655123949051,22.7,18.7,81.3,66.9
"40","11233","36047036900",34,0.146217752514211,0.637166593790993,0.30788469,0.52123692,0.95344429,0.14383158,0.832373594497178,0.0168301334060916,0.00165142094001752,0.115200786170545,0.352406902815622,0.482765704393387,0.0436922609806061,0.248069539666176,0.207119926810265,0.170603156089783,5.3,5.3,36.4,36.4
"41","11223","36047040200",22,0.165073295092416,0.607393244104525,0.1947877,0.45559871,0.35126743,0.11616287,0.0431175066209182,0.23316068935826,0.00365292037938187,0.107483314320181,0.345095262447058,0.501708209514618,0.31286883354187,0.236238539218903,0.142790421843529,0.160716041922569,22.9,18.8,62.3,51.1
"42","11237","36047043100",25,0.219677692960136,0.590048063330506,0.31798737,0.57524621,0.55170292,0.72335227,0.15130840783235,0.0681349306887691,0.00209924354844547,0.223923374197962,0.271481666389305,0.394576042890549,0.344782114028931,0.471775621175766,0.220438212156296,0.223682761192322,0.7,1.7,13.7,33.2
"43","11206","36047049100",31,0.0758695750759603,0.741735068704367,0.35829678,0.62296251,0.54923058,0.43904785,0.2586198605434,0.0525126232267372,0.00561433036787689,0.130441763100369,0.360524138271727,0.476015716791153,0.186853006482124,0.319770723581314,0.19677110016346,0.190838515758514,123.7,54.5,260.8,114.9
"44","11218","36047049400",24,0.12217324645458,0.721828286699885,0.22545323,0.44656131,0.4261167,0.1961348,0.0820023425437896,0.172283447798541,0.00300803918436884,0.106317489151277,0.367292360480371,0.403969019651413,0.224576100707054,0.198877468705177,0.153662979602814,0.163990989327431,73.1,50.9,111.5,77.6
"45","11211","36047052300",26,0.0545029846872567,0.733584220088243,0.3155257,0.5134087,0.20558507,0.26061195,0.0501262132846083,0.0434511676049049,0.00264044528469281,0.0953745564395154,0.330422817889325,0.357884526252747,0.139448687434196,0.191513165831566,0.156420439481735,0.161355257034302,33.8,21.9,51.1,33.1
"46","11230","36047055400",23,0.131314878892734,0.626643598615917,0.24128894,0.46749948,0.29551824,0.09808876,0.0756684737664247,0.13423458605164,0.00204447303133327,0.108522360038164,0.337293404327352,0.477256268262863,0.292113274335861,0.174506336450577,0.141833424568176,0.149924203753471,131.9,109.7,113.6,94.5
"47","11222","36047057500",17,0.206284153005464,0.469262295081967,0.1265742,0.26658348,0.16286871,0.1246096,0.0296992481203008,0.0551185656448814,0.00670908039329092,0.0954016561493197,0.178235748329206,0.301875948905945,0.139359027147293,0.0941972807049751,0.141075357794762,0.148748457431793,23,15,56.2,36.7
"48","11229","36047058000",17,0.132185886402754,0.551807228915663,0.14994763,0.35525846,0.29875478,0.08447345,0.0508537080060479,0.208331796781847,0.000860468832589642,0.101618515394348,0.242737768873893,0.461483150720596,0.203117430210114,0.152941182255745,0.139402940869331,0.154268741607666,41.9,43.9,121,126.8
"49","11235","36047060800",15,0.201161562829989,0.543822597676874,0.2196554,0.40424122,0.19354156,0.08459179,0.0260506201898918,0.130768823887229,0.00436380947343366,0.0939239926122653,0.301683810345525,0.489257007837296,0.432376027107239,0.103214830160141,0.137392058968544,0.148573115468025,222.9,157.7,218.9,154.9
"50","11234","36047065000",19,0.177791838025941,0.510597912053148,0.09552605,0.25123927,0.55680368,0.08446815,0.464198305616567,0.0487919673674302,0.000857650873339609,0.0831778026626851,0.211200282028949,0.425214052200317,0.083214707672596,0.116130031645298,0.168653517961502,0.15322633087635,40.4,23.2,98.9,56.8
"51","11210","36047078600",22,0.166877370417193,0.519848293299621,0.15055851,0.37042291,0.68470511,0.07332717,0.583902628203216,0.0447928164434235,0.000701053071209093,0.10382376345437,0.2779941645377,0.439824014902115,0.144298359751701,0.112438328564167,0.177009224891663,0.154853209853172,24.8,16.2,65.6,42.9
"52","11226","36047079200",31,0.216863905325444,0.566173570019724,0.20241581,0.44802948,0.91027376,0.16221935,0.745205953265038,0.0307327643211019,0.000752805216736691,0.124727132232203,0.310151646865643,0.413447648286819,0.0978665500879288,0.204641059041023,0.20282644033432,0.17123755812645,25.9,17.8,34.7,23.8
"53","11216","36047081600",23,0.187243267914194,0.558306709265176,0.21899683,0.40320735,0.82145481,0.10095518,0.71730345334313,0.0367927994121969,0.00426157237325496,0.112280124938353,0.273001260343033,0.39441442489624,0.0392503216862679,0.162633702158928,0.195123016834259,0.16286438703537,404.2,217.8,122.1,65.8
"54","11212","36047081600",33,0.104569465100774,0.725165393097082,0.35354547,0.5986885,0.95888366,0.15428884,0.860651160670534,0.00957254048386913,0.00300851272350173,0.125033630057668,0.396004164278445,0.537324130535126,0.0524686314165592,0.254444569349289,0.208370953798294,0.170342639088631,404.2,217.8,122.1,65.8
"55","11225","36047081600",25,0.192024840660239,0.550416734760582,0.21618758,0.43735388,0.81161827,0.08890678,0.731451193531612,0.0213711774277423,0.00243235535873048,0.11894785449197,0.24707974893537,0.442935347557068,0.0695041716098785,0.163285583257675,0.193590253591537,0.161768332123756,404.2,217.8,122.1,65.8
"56","11221","36047081600",30,0.165512465373961,0.624653739612188,0.27014087,0.4926077,0.69999881,0.39387392,0.567450133097776,0.0293531328709727,0.00649373903286262,0.152326695110271,0.299105643526178,0.467593371868134,0.101236365735531,0.297880351543427,0.213663101196289,0.193226248025894,404.2,217.8,122.1,65.8
"57","11203","36047086800",24,0.156504336224149,0.578785857238159,0.17244552,0.36741936,0.95552583,0.06453624,0.898533975665814,0.0149069613431847,0.00201269948448923,0.108254522082453,0.2521216732033,0.464888483285904,0.0477838329970837,0.153341665863991,0.202398031949997,0.16179521381855,24.1,21.1,85,74.4
